Loan ID,Customer ID,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Months since last delinquent,Number of Open Accounts,Number of Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens,Debt_to_Income_Ratio
14dd8831-6af5-400b-83ec-68e61888a048,981165ec-3274-42f5-a3b4-d104041a9ca9,Fully Paid,445412.0,Short Term,709.0,1167493.0,8.0,Home Mortgage,home improvements,5214.74,17.2,,6,1,228190,416746.0,1.0,0.0,0.05359936205184956
4771cc26-131a-45db-b5aa-537ea4ba5342,2de017a3-2e01-49cb-a581-08169e83be29,Fully Paid,262328.0,Short Term,725.0,1168975.0,10.0,Home Mortgage,debt consolidation,33295.98,21.1,8.0,35,0,229976,850784.0,0.0,0.0,0.3417966680211296
4eed4e6a-aa2f-4c91-8651-ce984ee8fb26,5efb2b2b-bf11-4dfd-a572-3761a2694725,Fully Paid,266244.0,Short Term,741.0,2231892.0,8.0,Own Home,debt consolidation,29200.53,14.9,29.0,18,1,297996,750090.0,0.0,0.0,0.15699969353355808
77598f7b-32e7-4e3b-a6e5-06ba0d98fe8a,e777faab-98ae-45af-9a86-7ce5b33b1011,Fully Paid,347666.0,Long Term,721.0,806949.0,3.0,Own Home,debt consolidation,8741.9,12.0,,9,0,256329,386958.0,0.0,0.0,0.12999929363565726
d4062e70-befa-4995-8643-a0de73938182,81536ad9-5ccf-4eb8-befb-47a4d608658e,Fully Paid,176220.0,Short Term,725.0,1168975.0,5.0,Rent,debt consolidation,20639.7,6.1,,15,0,253460,427174.0,0.0,0.0,0.21187484762291753
89d8cb0c-e5c2-4f54-b056-48a645c543dd,4ffe99d3-7f2a-44db-afc1-40943f1f9750,Charged Off,206602.0,Short Term,729.0,896857.0,10.0,Home Mortgage,debt consolidation,16367.74,17.3,,6,0,215308,272448.0,0.0,0.0,0.21900133466093258
273581de-85d8-4332-81a5-19b04ce68666,90a75dde-34d5-419c-90dc-1e58b04b3e35,Fully Paid,217646.0,Short Term,730.0,1184194.0,0.5,Home Mortgage,debt consolidation,10855.08,19.6,10.0,13,1,122170,272052.0,1.0,0.0,0.10999967910663286
db0dc6e1-77ee-4826-acca-772f9039e1c7,018973c9-e316-4956-b363-67e134fb0931,Charged Off,648714.0,Long Term,725.0,1168975.0,0.5,Home Mortgage,buy house,14806.13,8.2,8.0,15,0,193306,864204.0,0.0,0.0,0.15199089800893945
8af915d9-9e91-44a0-b5a2-564a45c12089,af534dea-d27e-4fd6-9de8-efaa52a78ec0,Fully Paid,548746.0,Short Term,678.0,2559110.0,2.0,Rent,debt consolidation,18660.28,22.6,33.0,4,0,437171,555038.0,0.0,0.0,0.0875004825896503
0b1c4e3d-bd97-45ce-9622-22732fcdc9a0,235c4a43-dadf-483d-aa44-9d6d77ae4583,Fully Paid,215952.0,Short Term,739.0,1454735.0,0.5,Rent,debt consolidation,39277.75,13.9,,20,0,669560,1021460.0,0.0,0.0,0.3239992163521191
